Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image
Sachiko's Little Kyoto,"Sitio Lamacan, Babag Uno 6000 Cebu City, Philippines",0,100,,,8:00:00,20:00:00,10.37128679,123.8552826,0,1,0,0,0,1,0,"/location_images/Sachiko's_Little_Kyoto/Sachikos_Little_Kyoto.jpg,/location_images/Sachiko's_Little_Kyoto/Sachikos_Little_Kyoto_fejrgjb.jpg"
Adventure Cafe and Zipline,"Brgy Gaas, Balamban, Cebu",0,,5,205,8:00:00,17:00:00,10.42974261,123.7756562,0,0,0,0,1,1,0,/location_images/Adventure_Cafe_and_Zipline/Adventure_Cafe_and_Zipline.jpg
Chapel of San Pedro Calungsod,"Church Ave., SM Seaside Complex, Cebu City, Cebu",0,0,,,9:30:00,17:00:00,10.28179911,123.8778243,0,0,1,0,0,0,0,/location_images/Chapel_of_San_Pedro_Calungsod/Chapel_of_San_Pedro_Calungsod.jpg
Mountain View Nature's Park,"Cebu Transcentral Hwy, Cebu City, 6000 Cebu",0,,50,200,9:00:00,21:00:00,10.3711171,123.8742797,0,0,0,0,1,1,0,"/location_images/Mountain_View_Nature's_Park/Mountain_View_Natures_Park.jpg,/location_images/Mountain_View_Nature's_Park/Mountain_View_Natures_Park_rw1TIQO.jpg"
Osmena Peak,"Mantalongon, Dalaguete 6022 Philippines",0,30,,,0:00:00,23:59:59,9.822499964,123.448333,0,1,0,0,1,0,0,"/location_images/Osmena_Peak/Osmena_Peak.jpg,/location_images/Osmena_Peak/Osmena_Peak_Bx7mEXq.jpg,/location_images/Osmena_Peak/Osmena_Peak_XPZJ6GA.jpg"
Panagsama Beach,"Moalboal, Cebu",0,,0,100,0:00:00,23:59:59,9.946423854,123.3685542,0,1,0,0,1,0,0,"/location_images/Panagsama_Beach/Panagsama_Beach.jpg,/location_images/Panagsama_Beach/Panagsama_Beach_SzSHlq3.jpg"
White Beach Moalboal,"Moalboal, Cebu",0,,10,20,0:00:00,23:59:59,9.972218514,123.3720414,0,1,0,0,1,0,0,"/location_images/White_Beach_Moalboal/White_Beach_Moalboal.jpg,/location_images/White_Beach_Moalboal/White_Beach_Moalboal_HbzXZ4R.jpg"
Pescador Island,Pescador Island,0,100,,,0:00:00,23:59:59,9.923230709,123.3434683,0,1,0,0,1,0,0,"/location_images/Pescador_Island/Pescador_Island.jpg,/location_images/Pescador_Island/Pescador_Island_pMVxvdV.jpg,/location_images/Pescador_Island/Pescador_Island_2UCMrhz.jpg"
Tingko Beach,"Alcoy, Cebu",0,,10,1000,0:00:00,23:59:59,9.681884417,123.5030218,0,1,0,0,1,0,0,"/location_images/Tingko_Beach/Tingko_Beach.jpg,/location_images/Tingko_Beach/Tingko_Beach_VZ7v302.jpg"
10000 Roses Cafe,"Day-as Barangay Rd, Cordova, Cebu",0,20,,,14:00:00,22:00:00,10.25667471,123.9323656,0,1,0,0,0,1,0,/location_images/10000_Roses_Cafe/10000_Roses_Cafe.jpg
